area,area_title,occ_code,tot_emp,h_median,h_pct10,h_pct25,h_pct75,h_pct90
1,Alabama,27-3042,650,33.62,21.56,28.06,40.62,50.01
1,Alabama,27-3043,280,26.54,17.9,20.47,40.32,50.48
1,Alabama,27-3091,280,23.87,15.22,18.07,30.31,37
1,Alabama,27-3092,250,25.56,12.27,16.1,32.21,32.21
1,Alabama,27-4011,690,20.47,14.07,15.87,24.93,29.88
1,Alabama,27-4012,230,17.02,10.93,13.97,25.82,32.21
1,Alabama,27-4014,90,21.68,11.19,12.4,56.02,60.15
1,Alabama,27-4021,470,17.11,9.96,13.68,22.49,35.22
1,Alabama,27-4031,210,21.59,10.57,14.65,29.92,40.74
1,Alabama,27-4032,100,20.4,12.14,13.84,40.14,42.02
1,Alabama,27-4099,40,39.26,26.31,32.51,56.46,69.68
1,Alabama,29-0000,133250,28.75,15.16,21.7,37.88,61.49
1,Alabama,29-1011,410,31.91,21.16,22.6,42.79,56.53
1,Alabama,29-1021,1040,98.14,51.5,61.19,106.05,#
1,Alabama,29-1023,100,*,*,*,*,*
1,Alabama,29-1029,30,*,*,*,*,*
1,Alabama,29-1031,630,29,17.89,24.58,35.17,38.7
1,Alabama,29-1041,510,53.28,25.55,40.64,60.49,88.29
1,Alabama,29-1051,5650,62.12,37.43,55.67,65.51,73.64
1,Alabama,29-1071,760,44.03,31.88,40.9,49.04,59.19
1,Alabama,29-1081,110,55.59,25.16,27.72,90.7,102.51
1,Alabama,29-1122,1180,40.28,29.15,34.49,49.8,53
1,Alabama,29-1123,2470,46.81,29.4,36.71,55.41,65.27
1,Alabama,29-1124,190,37.74,24.26,32.41,39.51,51.5
1,Alabama,29-1125,120,23.66,17.47,20.44,29.2,33.95
1,Alabama,29-1126,2490,27.61,19.64,23.72,30.54,33.84
1,Alabama,29-1127,2330,32,23.74,27.94,40,48.08
1,Alabama,29-1128,70,22.08,17.86,19.44,25.65,32.89
1,Alabama,29-1129,**,28.4,19.36,28,30.5,30.5
1,Alabama,29-1131,1150,47.88,25.8,38.28,61.98,111.45
1,Alabama,29-1141,49370,30.33,23.47,24.99,36.37,39.79
1,Alabama,29-1151,1320,85.29,67.54,78.25,96.1,#
1,Alabama,29-1171,4390,48.63,38.44,44.55,56.75,63.13
1,Alabama,29-1181,110,35.79,32.16,33.98,39.96,42.32
1,Alabama,29-1211,220,#,85.2,#,#,#
1,Alabama,29-1212,210,#,84.91,#,#,#
1,Alabama,29-1213,110,#,106.51,#,#,#
1,Alabama,29-1214,200,#,52.84,52.84,#,#
1,Alabama,29-1215,550,98.54,61.61,78.62,#,#
1,Alabama,29-1216,**,103.6,44.4,47.19,#,#
1,Alabama,29-1218,160,96.94,48.04,88.94,110.04,#
1,Alabama,29-1222,100,100.19,47.18,49.21,#,#
1,Alabama,29-1223,200,52.49,34.29,36.93,113.12,#
1,Alabama,29-1224,200,#,49.4,69.89,#,#
1,Alabama,29-1229,3420,106.62,37.88,63.51,#,#
1,Alabama,29-1242,340,#,55.14,72.11,#,#
1,Alabama,29-1249,530,106.2,52.83,52.83,#,#
1,Alabama,29-1292,3640,26.64,22.32,23.39,28.13,29.18
1,Alabama,29-1299,180,47.12,32.89,35.24,56.28,59.64
1,Alabama,29-2010,5780,22.45,13.97,16.36,29.42,34.94
1,Alabama,29-2031,1300,19.15,12.04,14.18,30.06,35.83
1,Alabama,29-2032,1220,30,19.57,24.19,33.05,38.33
1,Alabama,29-2033,320,33.68,25.11,29.59,37.03,38.95
1,Alabama,29-2034,4010,24.11,17.39,21.73,29.78,34.9
1,Alabama,29-2035,610,31.66,22.97,28.15,35.95,38.99
1,Alabama,29-2042,2310,14.2,10.9,11.73,17.78,23.41
1,Alabama,29-2043,1520,18.38,11.55,16.22,20.33,22.4
1,Alabama,29-2051,70,18.93,13.82,13.94,22.32,24.6
1,Alabama,29-2052,7980,16.97,13.5,14.34,18.1,21.13
1,Alabama,29-2053,1890,14.43,9.15,11.7,16.9,19.94
1,Alabama,29-2055,2260,19.28,14.19,17.6,23.66,28.71
1,Alabama,29-2056,1640,14.71,10.95,13.34,18.16,20.45
1,Alabama,29-2057,1170,16.03,13.53,14.28,18.23,22.09
1,Alabama,29-2061,10290,22.12,14.95,18.52,24.02,28.13
1,Alabama,29-2072,2530,17.88,12.36,14.14,23.6,29.43
1,Alabama,29-2081,790,14.67,11,13.75,17.39,21.88
1,Alabama,29-2091,110,36.26,20.32,29.24,40.49,52.49
1,Alabama,29-2092,80,36.52,24,30.79,37.88,38.47
1,Alabama,29-2099,1260,18.62,14.91,17.05,22.25,26.24
1,Alabama,29-9091,410,*,*,*,*,*
1,Alabama,29-9093,320,17.71,11.68,15.29,18.25,23.1
1,Alabama,29-9099,70,26.44,15.97,19.41,39.63,52.93
1,Alabama,31-0000,67900,13.55,9.93,11.07,16.15,18.89
1,Alabama,31-1120,20210,10.83,8.75,9.93,12.14,14.02
1,Alabama,31-1131,19740,13.5,10.98,11.94,14.63,17.01
1,Alabama,31-1132,500,13.06,10.53,12.02,13.77,17.29
1,Alabama,31-1133,1220,13.3,9.7,11.81,14.69,18.02
1,Alabama,31-2011,450,30.69,24.28,28.21,33.32,38.63
1,Alabama,31-2012,50,46.36,17.45,18.74,49.78,49.78
1,Alabama,31-2021,2020,28.76,15.24,23.88,32.16,38.02
1,Alabama,31-2022,750,11.78,8.83,10.68,13.58,14.78
1,Alabama,31-9011,480,12.34,9.03,9.8,19.53,27.15
